scheme_name,rule_id,field,operator,value,value_type,rule_group,source_basis,confidence,notes
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),R0001,occupation,equals,Farmer,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),R0002,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pradhan Mantri Fasal Bima Yojana (PMFBY),R0003,occupation,equals,Farmer,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Fasal Bima Yojana (PMFBY),R0004,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Kisan Credit Card (KCC),R0005,age,>=,18,number,ALL,normalized_from_master,HIGH,
Kisan Credit Card (KCC),R0006,age,<=,75,number,ALL,normalized_from_master,HIGH,
Kisan Credit Card (KCC),R0007,occupation,in,Owner cultivator|Tenant farmer|Oral lessee|Sharecropper|SHG/JLG of farmers,string,ALL,normalized_from_master,MEDIUM,
Kisan Credit Card (KCC),R0008,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),R0009,age,>=,18,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),R0010,age,<=,40,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),R0011,occupation,equals,Small and marginal farmer,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),R0012,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Agriculture Infrastructure Fund (AIF),R0013,occupation,in,Farmer|Agri-entrepreneur|Startup|FPO|PACS|Cooperative|SHG|JLG|APMC|Eligible public/private entity,string,ALL,normalized_from_master,MEDIUM,
Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),R0014,occupation,in,Farmer|Farmer group|Cooperative|Panchayat|FPO|Water User Association,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),R0015,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Soil Health Card Scheme,R0016,occupation,equals,Farmer,string,ALL,normalized_from_master,HIGH,
Soil Health Card Scheme,R0017,farmer_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pradhan Mantri Matsya Sampada Yojana (PMMSY),R0018,occupation,in,Fisher|Fish farmer|Fish worker|Fisheries entrepreneur|SHG/JLG|Cooperative|FPO|Eligible fisheries entity,string,ALL,normalized_from_master,MEDIUM,
