scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),CENTRAL,All India,Ministry of Agriculture & Farmers Welfare,Farmers,"Income-support scheme providing periodic DBT to eligible landholding farmer families, subject to exclusion criteria.",VERIFIED,https://pmkisan.gov.in/,,2026-09-19,,,ANY,,,,,,,,Farmer,,,,true,,,,,,,,,,Landholding farmer family; exclusions include institutional landholders and specified higher-income/professional/public-office categories.,Direct Benefit Transfer,"₹6,000 per year in three equal instalments to eligible farmer families.","₹6,000 per year",Online self-registration or assisted registration through authorised channels; land and identity verification applies.,https://www.pmkisan.gov.in/RegistrationFormupdated.aspx,Current official PM-KISAN portal shows ongoing instalment activity in 2026. Exclusion criteria are detailed and should be evaluated separately.
Pradhan Mantri Fasal Bima Yojana (PMFBY),CENTRAL,All India,Ministry of Agriculture & Farmers Welfare,Insurance,Crop insurance for notified crops and areas against specified non-preventable production risks.,VERIFIED,https://pmfby.gov.in/,,2026-09-19,,,ANY,,,,,,,,Farmer,,,,true,,,,,,,,,,Cultivator of a notified crop in a notified area/season; insurable interest and season-specific cut-off/document rules apply.,Crop Insurance,Insurance cover for notified crops; farmer premium share is capped for major crop categories.,"Farmer premium: up to 2% Kharif food/oilseed, 1.5% Rabi food/oilseed, 5% annual commercial/horticultural crops",Online through National Crop Insurance Portal or through participating banks/CSCs/insurers during notified enrolment windows.,https://pmfby.gov.in/farmerRegistrationForm,Official PMFBY dashboard and farmer registration were active and updated in September 2026.
Kisan Credit Card (KCC),CENTRAL,All India,Ministry of Agriculture & Farmers Welfare / Department of Financial Services,Farmers,Revolving institutional credit facility for crop production and allied agricultural needs.,VERIFIED,https://www.myscheme.gov.in/schemes/kcc,,2026-09-19,18,75,ANY,,,,,,,,Owner cultivator|Tenant farmer|Oral lessee|Sharecropper|SHG/JLG of farmers,,,,true,,,,,,,,,,"Individual/joint owner cultivators, tenant farmers, oral lessees, sharecroppers, and eligible farmer SHGs/JLGs. Bank-specific underwriting applies.",Credit,Short-term and working-capital credit through KCC; eligible prompt-repayment borrowers may receive interest subvention as applicable.,Varies by sanctioned credit limit,Apply through participating bank/cooperative/RRB; bank appraisal and land/occupation documentation apply.,https://www.myscheme.gov.in/schemes/kcc,Current myScheme listing used. Age range reflects current scheme FAQ; senior applicants may need co-borrower/legal-heir arrangements depending on lender.
Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),CENTRAL,All India,Ministry of Agriculture & Farmers Welfare,Pension,Voluntary contributory pension for eligible small and marginal landholding farmers.,NEEDS_REVIEW,https://fw.pmkisan.gov.in/Documents/PMKMYFAQs.pdf,,2026-09-19,18,40,ANY,,,,,,,,Small and marginal farmer,,,,true,Cultivable landholding up to 2 hectares; name in State/UT land records as specified by scheme guidelines.,,,,,,,,,Excludes farmers covered by specified statutory social-security schemes and certain other pension schemes; additional exclusions apply.,Pension,"Minimum assured pension after age 60, with spouse family-pension provisions.","₹3,000 per month after age 60",Assisted enrolment through Common Service Centres/authorised pension enrolment channels; contributory subscription required.,https://maandhan.in/,Scheme is genuine; detailed official FAQ located is older. Current enrolment availability should be rechecked before production use.
Agriculture Infrastructure Fund (AIF),CENTRAL,All India,Ministry of Agriculture & Farmers Welfare,Agriculture,Financing facility for post-harvest management infrastructure and viable community-farming assets.,VERIFIED,https://agriinfra.dac.gov.in/,,2026-09-19,,,ANY,,,,,,,,Farmer|Agri-entrepreneur|Startup|FPO|PACS|Cooperative|SHG|JLG|APMC|Eligible public/private entity,,,,,,,,,,,,,,Project must fall within eligible post-harvest/community-farming infrastructure categories and satisfy lender viability requirements.,Interest Subvention / Credit Guarantee,Interest subvention on eligible loans plus credit-guarantee support for qualifying borrowers and projects.,3% interest subvention up to ₹2 crore for maximum 7 years; eligible credit guarantee up to ₹2 crore,Online application through AIF portal followed by lender appraisal and project verification.,https://agriinfra.dac.gov.in/,Official AIF scheme guidelines confirm current financing terms.
Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),CENTRAL,All India,Ministry of New and Renewable Energy,Farmers,"Supports decentralized solar power plants, standalone solar agricultural pumps and solarisation of grid-connected pumps.",VERIFIED,https://pmkusum.mnre.gov.in/,,2026-09-19,,,ANY,,,,,,,,Farmer|Farmer group|Cooperative|Panchayat|FPO|Water User Association,,,,true,,,,,,,,,,"Eligibility depends on PM-KUSUM component, local DISCOM/SIA notification, pump capacity and technical feasibility.",Capital Subsidy / Solar Energy Support,Central financial assistance for eligible solar-pump/solarisation components; exact share varies by component and State/UT category.,Component- and State/UT-specific; central support can be up to 30% or 50% in specified categories,Apply through designated State Implementing Agency/utility portal when applications are invited.,https://pmkusum.mnre.gov.in/,"Official national portal is active; subsidy structure is component-specific, so benefit amount is intentionally not reduced to one universal figure."
Soil Health Card Scheme,CENTRAL,All India,Ministry of Agriculture & Farmers Welfare,Agriculture,Provides farmers soil-test based nutrient status and crop-specific fertilizer recommendations.,VERIFIED,https://soilhealth.dac.gov.in/,,2026-09-19,,,ANY,,,,,,,,Farmer,,,,true,,,,,,,,,,Farmer/land parcel must be covered by the soil-sampling and testing workflow of the implementing agriculture department.,Agricultural Advisory Service,Soil testing and Soil Health Card with nutrient status and recommendations.,,Soil samples are collected/tested through agriculture department network; farmers can access cards/results through the official portal.,https://soilhealth.dac.gov.in/,Official Soil Health Card portal is used. No universal cash benefit or income threshold.
Pradhan Mantri Matsya Sampada Yojana (PMMSY),CENTRAL,All India,"Department of Fisheries, Ministry of Fisheries, Animal Husbandry & Dairying",Fisheries,"Umbrella fisheries programme supporting production, infrastructure, value chains, welfare and selected beneficiary-oriented components.",NEEDS_REVIEW,https://pmmsy.dof.gov.in/pmdb/,,2026-09-19,,,ANY,,,,,,,,Fisher|Fish farmer|Fish worker|Fisheries entrepreneur|SHG/JLG|Cooperative|FPO|Eligible fisheries entity,,,,,,,,,,,,,,"Eligibility differs substantially by component; some welfare sub-components impose age, BPL, cooperative-membership or occupation conditions.",Financial Assistance / Infrastructure / Livelihood Support,"Component-specific support for fisheries and aquaculture projects, infrastructure and beneficiary welfare.",Varies by component,Apply through State/UT Fisheries Department or relevant PMMSY implementation channel for the applicable component.,https://pmmsy.dof.gov.in/pmdb/,"Official PMMSY portal remains available, but the original mission period and component-wise continuation beyond the earlier plan period need row-level revalidation."
National Livestock Mission - Entrepreneurship Development Programme,CENTRAL,All India,Department of Animal Husbandry & Dairying,Entrepreneurship,"Capital-subsidy support for eligible livestock, poultry and feed/fodder entrepreneurship projects.",VERIFIED,https://dahd.gov.in/schemes/programmes/national_livestock_mission,,2026-09-19,,,ANY,,,,,,,,Individual entrepreneur|SHG|JLG|FPO|Dairy cooperative|Section 8 company|Eligible entity,,,,,,,,,,,,,,Project must match an eligible NLM entrepreneurship activity and prescribed unit/technical norms; beneficiary must finance the balance via loan or permitted self-finance.,Capital Subsidy,"Supports eligible rural poultry, sheep/goat, piggery and feed/fodder entrepreneurship projects.",50% capital subsidy up to activity-specific ceilings,"Online application through the NLM entrepreneurship portal, followed by State Implementing Agency/lender appraisal.",https://nlm.udyamimitra.in/,Department portal was updated in July 2026 and links to current NLM application/guidelines.
PM Formalisation of Micro Food Processing Enterprises (PMFME),CENTRAL,All India,Ministry of Food Processing Industries,MSME,Credit-linked support and capacity building for micro food-processing enterprises and groups.,NEEDS_REVIEW,https://pmfme.mofpi.gov.in/,,2026-09-19,,,ANY,,,,,,,,Micro food-processing entrepreneur|SHG|FPO|Cooperative|Eligible group,,,,,,,,,,,,,,Enterprise/project must meet PMFME micro food-processing and component-specific conditions; beneficiary contribution/bank-finance requirements apply.,Credit-linked Capital Subsidy / Training,"Capital subsidy and support for eligible micro food-processing units, SHGs/FPOs/cooperatives and common infrastructure.","Individual micro enterprise: 35% of eligible project cost, up to ₹10 lakh subsidy",Apply through PMFME portal/State Nodal Agency; bank finance and project appraisal generally apply.,https://pmfme.mofpi.gov.in/,"Portal and clarifications remain active, but the original scheme period ended earlier; extension/ongoing sanction rules should be revalidated before production use."
