scheme_name,state_or_ut,field,operator,value,rule_confidence,notes
Mukhyamantri Kanya Sumangala Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Kanya Sumangala Yojana,Uttar Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Kanya Sumangala Yojana,Uttar Pradesh,annual_income,<=,300000,VERIFIED,income_type=FAMILY
Mukhyamantri Samuhik Vivah Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Samuhik Vivah Yojana,Uttar Pradesh,age,>=,18,VERIFIED,
Mukhyamantri Samuhik Vivah Yojana,Uttar Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Samuhik Vivah Yojana,Uttar Pradesh,annual_income,<=,300000,VERIFIED,income_type=FAMILY
Nirashrit Mahila Pension Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Nirashrit Mahila Pension Yojana,Uttar Pradesh,gender,equals,FEMALE,VERIFIED,
Nirashrit Mahila Pension Yojana,Uttar Pradesh,widow_status,boolean_equals,true,VERIFIED,
Uttar Pradesh Mukhyamantri Bal Seva Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,LIKELY_ACTIVE,
Uttar Pradesh Mukhyamantri Bal Seva Yojana,Uttar Pradesh,age,>=,0,LIKELY_ACTIVE,
Uttar Pradesh Mukhyamantri Bal Seva Yojana,Uttar Pradesh,age,<=,18,LIKELY_ACTIVE,
Uttar Pradesh Mukhyamantri Bal Seva Yojana (Samanya),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Uttar Pradesh Mukhyamantri Bal Seva Yojana (Samanya),Uttar Pradesh,age,>=,0,VERIFIED,
Uttar Pradesh Mukhyamantri Bal Seva Yojana (Samanya),Uttar Pradesh,age,<=,18,VERIFIED,
Rani Lakshmibai Mahila Evam Bal Samman Kosh,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Rani Lakshmibai Mahila Evam Bal Samman Kosh,Uttar Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Krishak Durghatna Kalyan Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Krishak Durghatna Kalyan Yojana,Uttar Pradesh,farmer_status,boolean_equals,true,VERIFIED,
Mukhyamantri Awas Yojana-Gramin,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Awas Yojana-Gramin,Uttar Pradesh,rural_urban,equals,RURAL,VERIFIED,
Vishwakarma Shram Samman Yojana 2.0,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Vishwakarma Shram Samman Yojana 2.0,Uttar Pradesh,age,>=,18,VERIFIED,
Mukhyamantri Yuva Udyami Vikas Abhiyan (CM-YUVA),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Yuva Udyami Vikas Abhiyan (CM-YUVA),Uttar Pradesh,age,>=,21,VERIFIED,
Mukhyamantri Yuva Udyami Vikas Abhiyan (CM-YUVA),Uttar Pradesh,age,<=,40,VERIFIED,
Mukhyamantri Yuva Swarojgar Yojana,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
ODOP Margin Money Scheme,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
ODOP Margin Money Scheme,Uttar Pradesh,age,>=,18,VERIFIED,
ODOP Training and Toolkit Scheme,Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
"Matritva, Shishu Evam Balika Madad Yojana (UP BOCW)",Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
