scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Mukhyamantri Kanya Sumangala Yojana,STATE,Uttar Pradesh,Department of Women Welfare,women|children|education,"Lifecycle financial support for eligible girl children at birth, immunisation and education milestones.",VERIFIED,https://mksy.up.gov.in/,,2026-09-19,,,FEMALE,FAMILY,,300000,Uttar Pradesh,true,,,,,,,,,,,,,,,,Generally limited to two girl children per family; scheme has specified exceptions.,Benefit is milestone-based across six categories; relevant birth/admission conditions apply to each stage.,DBT financial assistance,"Six milestone payments linked to birth, vaccination and education.","Total up to ₹25,000 across six stages",Online,https://mksy.up.gov.in/,Current official portal; installment values shown on official scheme portal.
Mukhyamantri Samuhik Vivah Yojana,STATE,Uttar Pradesh,Social Welfare Department,marriage|financial assistance|women,State assistance for eligible low-income couples participating in government-supported mass marriage programmes.,VERIFIED,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_12022026010905Final%20Hindi%20Budget%202026-27.pdf,,2026-09-19,18,,FEMALE,FAMILY,,300000,Uttar Pradesh,true,,,,,,,,,,,UNMARRIED/ELIGIBLE FOR MARRIAGE,,,,,Income criterion and legally valid marriage-age requirements apply.,,Marriage assistance,Financial and in-kind support under mass marriage programme.,₹1.01 lakh per marriage (2026-27 budget provision),Through local body/district social welfare process,,2026-27 UP budget explicitly continues scheme and raises assistance to ₹1.01 lakh; income ceiling should be rechecked against latest district instructions.
Nirashrit Mahila Pension Yojana,STATE,Uttar Pradesh,Department of Women Welfare,widows|pension|social welfare,Monthly pension support for destitute women after the death of their husband.,VERIFIED,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_1408202501560917_0001.pdf,,2026-09-19,,,FEMALE,,,,Uttar Pradesh,true,,,,LOW/NO REGULAR INCOME,,,,,,,WIDOWED,true,,,,,,Pension,Monthly social-security pension for eligible destitute widows.,"₹1,000 per month",Online/departmental pension process,,Recent UP government publication reports continuing payments to beneficiaries.
Uttar Pradesh Mukhyamantri Bal Seva Yojana,STATE,Uttar Pradesh,Department of Women Welfare,children|social welfare|education,"Support for children orphaned or who lost a parent due to COVID-19, including maintenance and education support.",LIKELY_ACTIVE,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_1408202501560917_0001.pdf,,2026-09-19,0,18,,,,,Uttar Pradesh,true,,,,,CHILD/DEPENDENT,,,,,,,,,,,"Child lost mother, father or both due to COVID-19 under scheme rules.",,Monthly assistance|education support,Maintenance assistance plus education and other support.,"₹4,000 per month reported for covered children",District child-protection/women welfare process,,"State publication reports ongoing beneficiaries; original scheme is pandemic-linked, so intake/current eligibility window should be checked."
Uttar Pradesh Mukhyamantri Bal Seva Yojana (Samanya),STATE,Uttar Pradesh,Department of Women Welfare,children|social welfare,"State support for eligible vulnerable/orphaned children under the general, non-COVID child-service variant.",VERIFIED,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_1408202501560917_0001.pdf,,2026-09-19,0,18,,,,,Uttar Pradesh,true,,,,,CHILD/DEPENDENT,,,,,,,,,,,Eligibility depends on orphanhood/vulnerability conditions defined by the general variant.,,Monthly financial assistance,Maintenance support and linked welfare services.,"₹2,500 per month reported",District child-protection/women welfare process,,"Recent state publication reports 66,753 beneficiaries under the general variant."
Rani Lakshmibai Mahila Evam Bal Samman Kosh,STATE,Uttar Pradesh,Department of Women Welfare,women|children|victim assistance,"Financial, medical, maintenance and rehabilitation support for women and children affected by serious crimes/violence.",VERIFIED,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_1408202501560917_0001.pdf,,2026-09-19,,,FEMALE,,,,Uttar Pradesh,true,,,,,,,,,,,,,,,,,Victim of specified serious offences/violence; assistance depends on case and competent authority.,Compensation|medical and rehabilitation assistance,Case-based financial compensation and support.,,District/departmental case process,,Recent state publication reports payments in 2024-25 and 2025-26.
Mukhyamantri Krishak Durghatna Kalyan Yojana,STATE,Uttar Pradesh,Board of Revenue / Revenue Department,farmers|accident assistance,Accident compensation for eligible farmers and related agricultural households after accidental death or disability.,VERIFIED,https://bor.up.gov.in/KAS/Cm_Dashboard/Cm_Dashboard_Tahsil.aspx?Dist_Cd=N05ix4xYEgUhnC2Wwd%2FkeQ%3D%3D,,2026-09-19,,,,,,,Uttar Pradesh,true,,,FARMER/AGRICULTURAL HOUSEHOLD,,,,true,,,,,,,,,,Accidental death/disability and farmer/family linkage must satisfy scheme definitions.,Accident compensation,Compensation according to qualifying accidental death/disability.,,Revenue/tehsil application process,,Live Board of Revenue dashboard shows applications and approvals through September 2026.
Mukhyamantri Awas Yojana-Gramin,STATE,Uttar Pradesh,Rural Development Department,housing|rural development,Fully state-funded rural housing assistance for specified vulnerable households excluded from PMAY-G beneficiary lists.,VERIFIED,https://information.up.gov.in/admin/UploadDocument/OtherPress/compressed_18062025010328varshiki2.pdf,,2026-09-19,,,,,,,Uttar Pradesh,true,,,,,,,,,,,,,VULNERABLE/HOUSING-DEPRIVED,RURAL,,Targets roofless/kutcha/dilapidated-house families in specified vulnerable categories and eligible families excluded from PMAY-G lists.,"Includes listed vulnerable groups such as disaster-affected families, Van Tangia, Musahar, certain tribal/occupational groups, leprosy-affected and persons with disabilities under applicable rules.",Housing assistance,State-funded assistance for construction of rural pucca housing.,,Rural development / Gram Panchayat verification process,,Recent state publications report lakhs of completed houses and 2026 beneficiary distributions.
Vishwakarma Shram Samman Yojana 2.0,STATE,Uttar Pradesh,MSME & Export Promotion Department,artisans|skill development|self-employment,"Training, toolkit and enterprise finance support for traditional artisans and selected modern technical trades.",VERIFIED,https://msme1connect.up.gov.in/scheme-list/vishwakarma-shram-samman-yojana,,2026-09-19,18,,,,,,Uttar Pradesh,true,,,ARTISAN/TRADITIONAL OR ELIGIBLE TECHNICAL TRADE,,,,,,,,,,,,,,Applicant should not have received a toolkit under the scheme in the preceding two years; must belong to an eligible trade.,Training|toolkit|loan subsidy,Skill upgradation and tools; 2.0 also provides enterprise loan assistance.,Loan assistance up to ₹10 lakh with stated 15% margin-money support under 2.0,Online,https://www.diupmsme.upsdc.gov.in,Current UP MSME portal includes 2026-27 2.0 government order and eligibility.
Mukhyamantri Yuva Udyami Vikas Abhiyan (CM-YUVA),STATE,Uttar Pradesh,MSME & Export Promotion Department,entrepreneurship|self-employment|youth,State entrepreneurship programme providing subsidised/interest-supported loans to young residents establishing enterprises.,VERIFIED,https://msme1connect.up.gov.in/scheme-list/mukhyamantri-yuva-udyami-vikas-abhiyan,,2026-09-19,21,40,,,,,Uttar Pradesh,true,,,,ASPIRING ENTREPRENEUR,,CLASS 8 OR EQUIVALENT+,,,,,,,,,,,Should not simultaneously avail specified other government loan-subsidy schemes; trained applicants receive priority.,Enterprise loan|interest subsidy,Interest-supported enterprise finance in phased loan bands.,Phase 1 up to ₹5 lakh; Phase 2 ₹10–20 lakh under current portal,Online,https://www.diupmsme.upsdc.gov.in,Current UP MSME portal provides eligibility and current assistance structure.
